Seqno,RecvTime,U1,I1,U2,I2,U3,I3
88,1743738062355045,230.522,10.478,-296.207,-13.466,65.685,2.983
89,1743738062355050,219.998,9.998,-300.533,-13.660,80.535,3.662
90,1743738062355056,208.936,9.499,-304.106,-13.822,95.170,4.327
91,1743738062355061,197.378,8.973,-306.968,-13.951,109.590,4.983
92,1743738062355066,185.347,8.423,-309.099,-14.048,123.752,5.625
93,1743738062355071,172.843,7.855,-310.455,-14.113,137.612,6.253
94,1743738062355076,159.952,7.269,-311.079,-14.141,151.127,6.872
95,1743738062355082,146.672,6.668,-310.950,-14.136,164.299,7.467
96,1743738062355087,133.027,6.045,-310.089,-14.094,177.061,8.049
97,1743738062355092,119.060,5.412,-308.475,-14.020,189.394,8.608
98,1743738062355098,104.812,4.766,-306.107,-13.914,201.295,9.148
99,1743738062355103,90.306,4.105,-303.008,-13.771,212.680,9.666
100,1743738062355108,75.607,3.436,-299.177,-13.600,223.571,10.164
101,1743738062355113,60.692,2.757,-294.615,-13.392,233.923,10.631
102,1743738062355119,45.648,2.074,-289.363,-13.152,243.694,11.079
103,1743738062355124,30.497,1.385,-283.402,-12.880,252.905,11.494
104,1743738062355130,15.259,0.693,-276.751,-12.580,261.492,11.887
105,1743738062355135,0.000,0.000,-269.434,-12.247,269.434,12.247
106,1743738062355140,-15.259,-0.693,-261.492,-11.887,276.751,12.580
107,1743738062355145,-30.497,-1.385,-252.905,-11.494,283.402,12.880
108,1743738062355150,-45.648,-2.074,-243.694,-11.079,289.363,13.152
109,1743738062355155,-60.692,-2.757,-233.923,-10.631,294.615,13.392
110,1743738062355160,-75.607,-3.436,-223.571,-10.164,299.177,13.600
111,1743738062355166,-90.306,-4.105,-212.680,-9.666,303.008,13.771
112,1743738062355171,-104.812,-4.766,-201.295,-9.148,306.107,13.914
113,1743738062355176,-119.060,-5.412,-189.394,-8.608,308.475,14.020
114,1743738062355182,-133.027,-6.045,-177.061,-8.049,310.089,14.094
115,1743738062355187,-146.672,-6.668,-164.299,-7.467,310.950,14.136
116,1743738062355193,-159.952,-7.269,-151.127,-6.872,311.079,14.141
117,1743738062355198,-172.843,-7.855,-137.612,-6.253,310.455,14.113
118,1743738062355203,-185.347,-8.423,-123.752,-5.625,309.099,14.048
119,1743738062355208,-197.378,-8.973,-109.590,-4.983,306.968,13.951
120,1743738062355214,-208.936,-9.499,-95.170,-4.327,304.106,13.822
121,1743738062355219,-219.998,-9.998,-80.535,-3.662,300.533,13.660
122,1743738062355224,-230.522,-10.478,-65.685,-2.983,296.207,13.466
123,1743738062355230,-240.508,-10.931,-50.684,-2.304,291.193,13.235
124,1743738062355242,-249.892,-11.360,-35.554,-1.616,285.468,12.977
125,1743738062355247,-258.694,-11.758,-20.338,-0.924,279.033,12.686
126,1743738062355253,-266.873,-12.132,-5.101,-0.231,271.952,12.363
127,1743738062355258,-274.384,-12.473,10.180,0.462,264.204,12.012
128,1743738062355264,-281.249,-12.783,25.417,1.155,255.832,11.628
129,1743738062355269,-287.448,-13.064,40.612,1.847,246.836,11.222
130,1743738062355275,-292.936,-13.314,55.699,2.531,237.237,10.783
131,1743738062355280,-297.735,-13.531,70.657,3.210,227.079,10.321
132,1743738062355286,-301.803,-13.720,85.442,3.884,216.361,9.836
133,1743738062355291,-305.139,-13.873,100.013,4.544,205.148,9.324
134,1743738062355296,-307.765,-13.988,114.346,5.195,193.418,8.793
135,1743738062355302,-309.637,-14.076,128.400,5.837,181.215,8.239
136,1743738062355307,-310.756,-14.127,142.153,6.461,168.603,7.661
137,1743738062355312,-311.122,-14.141,155.561,7.070,155.561,7.070
