Seqno,RecvTime,U1,I1,U2,I2,U3,I3
3384,1743738062452657,208.936,9.499,95.170,4.327,-304.106,-13.822
3385,1743738062452662,219.998,9.998,80.535,3.662,-300.533,-13.660
3386,1743738062452668,230.522,10.478,65.685,2.983,-296.207,-13.466
3387,1743738062452673,240.508,10.931,50.684,2.304,-291.193,-13.235
3388,1743738062452679,249.892,11.360,35.554,1.616,-285.468,-12.977
3389,1743738062452685,258.694,11.758,20.338,0.924,-279.033,-12.686
3390,1743738062452690,266.873,12.132,5.101,0.231,-271.952,-12.363
3391,1743738062452695,274.384,12.473,-10.180,-0.462,-264.204,-12.012
3392,1743738062452701,281.249,12.783,-25.417,-1.155,-255.832,-11.628
3393,1743738062452707,287.448,13.064,-40.612,-1.847,-246.836,-11.222
3394,1743738062452712,292.936,13.314,-55.699,-2.531,-237.237,-10.783
3395,1743738062452718,297.735,13.531,-70.657,-3.210,-227.079,-10.321
3396,1743738062452724,301.803,13.720,-85.442,-3.884,-216.361,-9.836
3397,1743738062452729,305.139,13.873,-100.013,-4.544,-205.148,-9.324
3398,1743738062452734,307.765,13.988,-114.346,-5.195,-193.418,-8.793
3399,1743738062452744,309.637,14.076,-128.400,-5.837,-181.215,-8.239
3400,1743738062452750,310.756,14.127,-142.153,-6.461,-168.603,-7.661
3401,1743738062452755,311.122,14.141,-155.561,-7.070,-155.561,-7.070
3402,1743738062452760,310.756,14.127,-168.603,-7.661,-142.153,-6.461
3403,1743738062452766,309.637,14.076,-181.215,-8.239,-128.400,-5.837
3404,1743738062452772,307.765,13.988,-193.418,-8.793,-114.346,-5.195
3405,1743738062452777,305.139,13.873,-205.148,-9.324,-100.013,-4.544
3406,1743738062452782,301.803,13.720,-216.361,-9.836,-85.442,-3.884
3407,1743738062452787,297.735,13.531,-227.079,-10.321,-70.657,-3.210
3408,1743738062452792,292.936,13.314,-237.237,-10.783,-55.699,-2.531
3409,1743738062452797,287.448,13.064,-246.836,-11.222,-40.612,-1.847
3410,1743738062452802,281.249,12.783,-255.832,-11.628,-25.417,-1.155
3411,1743738062452807,274.384,12.473,-264.204,-12.012,-10.180,-0.462
3412,1743738062452812,266.873,12.132,-271.952,-12.363,5.101,0.231
3413,1743738062452817,258.694,11.758,-279.033,-12.686,20.338,0.924
3414,1743738062452823,249.892,11.360,-285.468,-12.977,35.554,1.616
3415,1743738062452829,240.508,10.931,-291.193,-13.235,50.684,2.304
3416,1743738062452834,230.522,10.478,-296.207,-13.466,65.685,2.983
3417,1743738062452840,219.998,9.998,-300.533,-13.660,80.535,3.662
3418,1743738062452845,208.936,9.499,-304.106,-13.822,95.170,4.327
3419,1743738062452851,197.378,8.973,-306.968,-13.951,109.590,4.983
3420,1743738062452857,185.347,8.423,-309.099,-14.048,123.752,5.625
3421,1743738062452862,172.843,7.855,-310.455,-14.113,137.612,6.253
3422,1743738062452868,159.952,7.269,-311.079,-14.141,151.127,6.872
3423,1743738062452873,146.672,6.668,-310.950,-14.136,164.299,7.467
3424,1743738062452879,133.027,6.045,-310.089,-14.094,177.061,8.049
3425,1743738062452884,119.060,5.412,-308.475,-14.020,189.394,8.608
3426,1743738062452889,104.812,4.766,-306.107,-13.914,201.295,9.148
3427,1743738062452895,90.306,4.105,-303.008,-13.771,212.680,9.666
3428,1743738062452900,75.607,3.436,-299.177,-13.600,223.571,10.164
3429,1743738062452906,60.692,2.757,-294.615,-13.392,233.923,10.631
3430,1743738062452912,45.648,2.074,-289.363,-13.152,243.694,11.079
3431,1743738062452917,30.497,1.385,-283.402,-12.880,252.905,11.494
3432,1743738062452923,15.259,0.693,-276.751,-12.580,261.492,11.887
3433,1743738062452929,0.000,0.000,-269.434,-12.247,269.434,12.247
3434,1743738062452934,-15.259,-0.693,-261.492,-11.887,276.751,12.580
3435,1743738062452940,-30.497,-1.385,-252.905,-11.494,283.402,12.880
3436,1743738062452946,-45.648,-2.074,-243.694,-11.079,289.363,13.152
3437,1743738062452952,-60.692,-2.757,-233.923,-10.631,294.615,13.392
3438,1743738062452958,-75.607,-3.436,-223.571,-10.164,299.177,13.600
3439,1743738062452963,-90.306,-4.105,-212.680,-9.666,303.008,13.771
3440,1743738062452968,-104.812,-4.766,-201.295,-9.148,306.107,13.914
3441,1743738062452974,-119.060,-5.412,-189.394,-8.608,308.475,14.020
3442,1743738062452980,-133.027,-6.045,-177.061,-8.049,310.089,14.094
3443,1743738062452985,-146.672,-6.668,-164.299,-7.467,310.950,14.136
3444,1743738062452991,-159.952,-7.269,-151.127,-6.872,311.079,14.141
3445,1743738062452996,-172.843,-7.855,-137.612,-6.253,310.455,14.113
3446,1743738062453002,-185.347,-8.423,-123.752,-5.625,309.099,14.048
3447,1743738062453008,-197.378,-8.973,-109.590,-4.983,306.968,13.951
3448,1743738062453013,-208.936,-9.499,-95.170,-4.327,304.106,13.822
3449,1743738062453019,-219.998,-9.998,-80.535,-3.662,300.533,13.660
3450,1743738062453024,-230.522,-10.478,-65.685,-2.983,296.207,13.466
3451,1743738062453030,-240.508,-10.931,-50.684,-2.304,291.193,13.235
3452,1743738062453035,-249.892,-11.360,-35.554,-1.616,285.468,12.977
3453,1743738062453041,-258.694,-11.758,-20.338,-0.924,279.033,12.686
3454,1743738062453047,-266.873,-12.132,-5.101,-0.231,271.952,12.363
3455,1743738062453052,-274.384,-12.473,10.180,0.462,264.204,12.012
3456,1743738062453058,-281.249,-12.783,25.417,1.155,255.832,11.628
3457,1743738062453063,-287.448,-13.064,40.612,1.847,246.836,11.222
3458,1743738062453069,-292.936,-13.314,55.699,2.531,237.237,10.783
3459,1743738062453077,-297.735,-13.531,70.657,3.210,227.079,10.321
3460,1743738062453083,-301.803,-13.720,85.442,3.884,216.361,9.836
3461,1743738062453088,-305.139,-13.873,100.013,4.544,205.148,9.324
3462,1743738062453093,-307.765,-13.988,114.346,5.195,193.418,8.793
3463,1743738062453098,-309.637,-14.076,128.400,5.837,181.215,8.239
3464,1743738062453103,-310.756,-14.127,142.153,6.461,168.603,7.661
3465,1743738062453108,-311.122,-14.141,155.561,7.070,155.561,7.070
3466,1743738062453113,-310.756,-14.127,168.603,7.661,142.153,6.461
3467,1743738062453119,-309.637,-14.076,181.215,8.239,128.400,5.837
3468,1743738062453126,-307.765,-13.988,193.418,8.793,114.346,5.195
3469,1743738062453132,-305.139,-13.873,205.148,9.324,100.013,4.544
3470,1743738062453137,-301.803,-13.720,216.361,9.836,85.442,3.884
3471,1743738062453141,-297.735,-13.531,227.079,10.321,70.657,3.210
3472,1743738062453147,-292.936,-13.314,237.237,10.783,55.699,2.531
3473,1743738062453153,-287.448,-13.064,246.836,11.222,40.612,1.847
3474,1743738062453158,-281.249,-12.783,255.832,11.628,25.417,1.155
3475,1743738062453164,-274.384,-12.473,264.204,12.012,10.180,0.462
3476,1743738062453170,-266.873,-12.132,271.952,12.363,-5.101,-0.231
3477,1743738062453175,-258.694,-11.758,279.033,12.686,-20.338,-0.924
3478,1743738062453181,-249.892,-11.360,285.468,12.977,-35.554,-1.616
3479,1743738062453186,-240.508,-10.931,291.193,13.235,-50.684,-2.304
3480,1743738062453192,-230.522,-10.478,296.207,13.466,-65.685,-2.983
3481,1743738062453198,-219.998,-9.998,300.533,13.660,-80.535,-3.662
3482,1743738062453202,-208.936,-9.499,304.106,13.822,-95.170,-4.327
3483,1743738062453207,-197.378,-8.973,306.968,13.951,-109.590,-4.983
3484,1743738062453213,-185.347,-8.423,309.099,14.048,-123.752,-5.625
3485,1743738062453218,-172.843,-7.855,310.455,14.113,-137.612,-6.253
3486,1743738062453223,-159.952,-7.269,311.079,14.141,-151.127,-6.872
3487,1743738062453229,-146.672,-6.668,310.950,14.136,-164.299,-7.467
3488,1743738062453234,-133.027,-6.045,310.089,14.094,-177.061,-8.049
3489,1743738062453239,-119.060,-5.412,308.475,14.020,-189.394,-8.608
3490,1743738062453244,-104.812,-4.766,306.107,13.914,-201.295,-9.148
3491,1743738062453250,-90.306,-4.105,303.008,13.771,-212.680,-9.666
3492,1743738062453256,-75.607,-3.436,299.177,13.600,-223.571,-10.164
3493,1743738062453261,-60.692,-2.757,294.615,13.392,-233.923,-10.631
3494,1743738062453267,-45.648,-2.074,289.363,13.152,-243.694,-11.079
3495,1743738062453273,-30.497,-1.385,283.402,12.880,-252.905,-11.494
3496,1743738062453278,-15.259,-0.693,276.751,12.580,-261.492,-11.887
3497,1743738062453284,0.000,0.000,269.434,12.247,-269.434,-12.247
3498,1743738062453289,15.259,0.693,261.492,11.887,-276.751,-12.580
3499,1743738062453295,30.497,1.385,252.905,11.494,-283.402,-12.880
3500,1743738062453300,45.648,2.074,243.694,11.079,-289.363,-13.152
3501,1743738062453306,60.692,2.757,233.923,10.631,-294.615,-13.392
3502,1743738062453311,75.607,3.436,223.571,10.164,-299.177,-13.600
3503,1743738062453317,90.306,4.105,212.680,9.666,-303.008,-13.771
3504,1743738062453324,104.812,4.766,201.295,9.148,-306.107,-13.914
3505,1743738062453330,119.060,5.412,189.394,8.608,-308.475,-14.020
3506,1743738062453335,133.027,6.045,177.061,8.049,-310.089,-14.094
3507,1743738062453341,146.672,6.668,164.299,7.467,-310.950,-14.136
3508,1743738062453346,159.952,7.269,151.127,6.872,-311.079,-14.141
3509,1743738062453351,172.843,7.855,137.612,6.253,-310.455,-14.113
3510,1743738062453357,185.347,8.423,123.752,5.625,-309.099,-14.048
3511,1743738062453362,197.378,8.973,109.590,4.983,-306.968,-13.951
3512,1743738062453367,208.936,9.499,95.170,4.327,-304.106,-13.822
3513,1743738062453373,219.998,9.998,80.535,3.662,-300.533,-13.660
3514,1743738062453378,230.522,10.478,65.685,2.983,-296.207,-13.466
3515,1743738062453384,240.508,10.931,50.684,2.304,-291.193,-13.235
3516,1743738062453390,249.892,11.360,35.554,1.616,-285.468,-12.977
3517,1743738062453395,258.694,11.758,20.338,0.924,-279.033,-12.686
3518,1743738062453401,266.873,12.132,5.101,0.231,-271.952,-12.363
3519,1743738062453407,274.384,12.473,-10.180,-0.462,-264.204,-12.012
3520,1743738062453416,281.249,12.783,-25.417,-1.155,-255.832,-11.628
3521,1743738062453422,287.448,13.064,-40.612,-1.847,-246.836,-11.222
3522,1743738062453427,292.936,13.314,-55.699,-2.531,-237.237,-10.783
3523,1743738062453439,297.735,13.531,-70.657,-3.210,-227.079,-10.321
3524,1743738062453448,301.803,13.720,-85.442,-3.884,-216.361,-9.836
3525,1743738062453454,305.139,13.873,-100.013,-4.544,-205.148,-9.324
3526,1743738062453459,307.765,13.988,-114.346,-5.195,-193.418,-8.793
3527,1743738062453464,309.637,14.076,-128.400,-5.837,-181.215,-8.239
3528,1743738062453470,310.756,14.127,-142.153,-6.461,-168.603,-7.661
3529,1743738062453475,311.122,14.141,-155.561,-7.070,-155.561,-7.070
3530,1743738062453480,310.756,14.127,-168.603,-7.661,-142.153,-6.461
3531,1743738062453485,309.637,14.076,-181.215,-8.239,-128.400,-5.837
3532,1743738062453491,307.765,13.988,-193.418,-8.793,-114.346,-5.195
3533,1743738062453496,305.139,13.873,-205.148,-9.324,-100.013,-4.544
3534,1743738062453501,301.803,13.720,-216.361,-9.836,-85.442,-3.884
3535,1743738062453506,297.735,13.531,-227.079,-10.321,-70.657,-3.210
3536,1743738062453511,292.936,13.314,-237.237,-10.783,-55.699,-2.531
3537,1743738062453516,287.448,13.064,-246.836,-11.222,-40.612,-1.847
3538,1743738062453521,281.249,12.783,-255.832,-11.628,-25.417,-1.155
3539,1743738062453526,274.384,12.473,-264.204,-12.012,-10.180,-0.462
3540,1743738062453532,266.873,12.132,-271.952,-12.363,5.101,0.231
3541,1743738062453537,258.694,11.758,-279.033,-12.686,20.338,0.924
3542,1743738062453543,249.892,11.360,-285.468,-12.977,35.554,1.616
3543,1743738062453549,240.508,10.931,-291.193,-13.235,50.684,2.304
3544,1743738062453554,230.522,10.478,-296.207,-13.466,65.685,2.983
3545,1743738062453560,219.998,9.998,-300.533,-13.660,80.535,3.662
3546,1743738062453565,208.936,9.499,-304.106,-13.822,95.170,4.327
3547,1743738062453570,197.378,8.973,-306.968,-13.951,109.590,4.983
3548,1743738062453576,185.347,8.423,-309.099,-14.048,123.752,5.625
3549,1743738062453581,172.843,7.855,-310.455,-14.113,137.612,6.253
3550,1743738062453587,159.952,7.269,-311.079,-14.141,151.127,6.872
3551,1743738062453592,146.672,6.668,-310.950,-14.136,164.299,7.467
3552,1743738062453597,133.027,6.045,-310.089,-14.094,177.061,8.049
3553,1743738062453603,119.060,5.412,-308.475,-14.020,189.394,8.608
3554,1743738062453608,104.812,4.766,-306.107,-13.914,201.295,9.148
3555,1743738062453613,90.306,4.105,-303.008,-13.771,212.680,9.666
3556,1743738062453619,75.607,3.436,-299.177,-13.600,223.571,10.164
3557,1743738062453624,60.692,2.757,-294.615,-13.392,233.923,10.631
3558,1743738062453629,45.648,2.074,-289.363,-13.152,243.694,11.079
3559,1743738062453634,30.497,1.385,-283.402,-12.880,252.905,11.494
3560,1743738062453640,15.259,0.693,-276.751,-12.580,261.492,11.887
3561,1743738062453645,0.000,0.000,-269.434,-12.247,269.434,12.247
3562,1743738062453651,-15.259,-0.693,-261.492,-11.887,276.751,12.580
3563,1743738062453656,-30.497,-1.385,-252.905,-11.494,283.402,12.880
3564,1743738062453661,-45.648,-2.074,-243.694,-11.079,289.363,13.152
3565,1743738062453666,-60.692,-2.757,-233.923,-10.631,294.615,13.392
3566,1743738062453671,-75.607,-3.436,-223.571,-10.164,299.177,13.600
3567,1743738062453676,-90.306,-4.105,-212.680,-9.666,303.008,13.771
3568,1743738062453681,-104.812,-4.766,-201.295,-9.148,306.107,13.914
3569,1743738062453687,-119.060,-5.412,-189.394,-8.608,308.475,14.020
3570,1743738062453692,-133.027,-6.045,-177.061,-8.049,310.089,14.094
3571,1743738062453697,-146.672,-6.668,-164.299,-7.467,310.950,14.136
3572,1743738062453703,-159.952,-7.269,-151.127,-6.872,311.079,14.141
3573,1743738062453708,-172.843,-7.855,-137.612,-6.253,310.455,14.113
3574,1743738062453714,-185.347,-8.423,-123.752,-5.625,309.099,14.048
3575,1743738062453719,-197.378,-8.973,-109.590,-4.983,306.968,13.951
3576,1743738062453724,-208.936,-9.499,-95.170,-4.327,304.106,13.822
3577,1743738062453730,-219.998,-9.998,-80.535,-3.662,300.533,13.660
3578,1743738062453735,-230.522,-10.478,-65.685,-2.983,296.207,13.466
3579,1743738062453741,-240.508,-10.931,-50.684,-2.304,291.193,13.235
3580,1743738062453750,-249.892,-11.360,-35.554,-1.616,285.468,12.977
3581,1743738062453756,-258.694,-11.758,-20.338,-0.924,279.033,12.686
3582,1743738062453762,-266.873,-12.132,-5.101,-0.231,271.952,12.363
3583,1743738062453767,-274.384,-12.473,10.180,0.462,264.204,12.012
3584,1743738062453773,-281.249,-12.783,25.417,1.155,255.832,11.628
3585,1743738062453778,-287.448,-13.064,40.612,1.847,246.836,11.222
3586,1743738062453784,-292.936,-13.314,55.699,2.531,237.237,10.783
3587,1743738062453790,-297.735,-13.531,70.657,3.210,227.079,10.321
3588,1743738062453795,-301.803,-13.720,85.442,3.884,216.361,9.836
3589,1743738062453801,-305.139,-13.873,100.013,4.544,205.148,9.324
3590,1743738062453806,-307.765,-13.988,114.346,5.195,193.418,8.793
3591,1743738062453811,-309.637,-14.076,128.400,5.837,181.215,8.239
3592,1743738062453817,-310.756,-14.127,142.153,6.461,168.603,7.661
3593,1743738062453822,-311.122,-14.141,155.561,7.070,155.561,7.070
3594,1743738062453827,-310.756,-14.127,168.603,7.661,142.153,6.461
3595,1743738062453833,-309.637,-14.076,181.215,8.239,128.400,5.837
3596,1743738062453838,-307.765,-13.988,193.418,8.793,114.346,5.195
3597,1743738062453844,-305.139,-13.873,205.148,9.324,100.013,4.544
3598,1743738062453849,-301.803,-13.720,216.361,9.836,85.442,3.884
3599,1743738062453855,-297.735,-13.531,227.079,10.321,70.657,3.210
3600,1743738062453860,-292.936,-13.314,237.237,10.783,55.699,2.531
3601,1743738062453866,-287.448,-13.064,246.836,11.222,40.612,1.847
3602,1743738062453872,-281.249,-12.783,255.832,11.628,25.417,1.155
3603,1743738062453877,-274.384,-12.473,264.204,12.012,10.180,0.462
3604,1743738062453883,-266.873,-12.132,271.952,12.363,-5.101,-0.231
3605,1743738062453887,-258.694,-11.758,279.033,12.686,-20.338,-0.924
3606,1743738062453893,-249.892,-11.360,285.468,12.977,-35.554,-1.616
3607,1743738062453899,-240.508,-10.931,291.193,13.235,-50.684,-2.304
3608,1743738062453906,-230.522,-10.478,296.207,13.466,-65.685,-2.983
3609,1743738062453912,-219.998,-9.998,300.533,13.660,-80.535,-3.662
3610,1743738062453917,-208.936,-9.499,304.106,13.822,-95.170,-4.327
3611,1743738062453923,-197.378,-8.973,306.968,13.951,-109.590,-4.983
3612,1743738062453928,-185.347,-8.423,309.099,14.048,-123.752,-5.625
3613,1743738062453933,-172.843,-7.855,310.455,14.113,-137.612,-6.253
3614,1743738062453939,-159.952,-7.269,311.079,14.141,-151.127,-6.872
3615,1743738062453945,-146.672,-6.668,310.950,14.136,-164.299,-7.467
3616,1743738062453951,-133.027,-6.045,310.089,14.094,-177.061,-8.049
3617,1743738062453957,-119.060,-5.412,308.475,14.020,-189.394,-8.608
3618,1743738062453961,-104.812,-4.766,306.107,13.914,-201.295,-9.148
3619,1743738062453966,-90.306,-4.105,303.008,13.771,-212.680,-9.666
3620,1743738062453970,-75.607,-3.436,299.177,13.600,-223.571,-10.164
3621,1743738062453975,-60.692,-2.757,294.615,13.392,-233.923,-10.631
3622,1743738062453979,-45.648,-2.074,289.363,13.152,-243.694,-11.079
3623,1743738062453984,-30.497,-1.385,283.402,12.880,-252.905,-11.494
3624,1743738062453989,-15.259,-0.693,276.751,12.580,-261.492,-11.887
3625,1743738062453994,0.000,0.000,269.434,12.247,-269.434,-12.247
3626,1743738062454000,15.259,0.693,261.492,11.887,-276.751,-12.580
3627,1743738062454005,30.497,1.385,252.905,11.494,-283.402,-12.880
3628,1743738062454010,45.648,2.074,243.694,11.079,-289.363,-13.152
3629,1743738062454016,60.692,2.757,233.923,10.631,-294.615,-13.392
3630,1743738062454020,75.607,3.436,223.571,10.164,-299.177,-13.600
3631,1743738062454026,90.306,4.105,212.680,9.666,-303.008,-13.771
3632,1743738062454030,104.812,4.766,201.295,9.148,-306.107,-13.914
3633,1743738062454035,119.060,5.412,189.394,8.608,-308.475,-14.020
3634,1743738062454039,133.027,6.045,177.061,8.049,-310.089,-14.094
3635,1743738062454044,146.672,6.668,164.299,7.467,-310.950,-14.136
3636,1743738062454048,159.952,7.269,151.127,6.872,-311.079,-14.141
3637,1743738062454052,172.843,7.855,137.612,6.253,-310.455,-14.113
3638,1743738062454056,185.347,8.423,123.752,5.625,-309.099,-14.048
3639,1743738062454060,197.378,8.973,109.590,4.983,-306.968,-13.951
3640,1743738062454065,208.936,9.499,95.170,4.327,-304.106,-13.822
3641,1743738062454073,219.998,9.998,80.535,3.662,-300.533,-13.660
3642,1743738062454080,230.522,10.478,65.685,2.983,-296.207,-13.466
3643,1743738062454085,240.508,10.931,50.684,2.304,-291.193,-13.235
3644,1743738062454089,249.892,11.360,35.554,1.616,-285.468,-12.977
3645,1743738062454094,258.694,11.758,20.338,0.924,-279.033,-12.686
3646,1743738062454099,266.873,12.132,5.101,0.231,-271.952,-12.363
3647,1743738062454103,274.384,12.473,-10.180,-0.462,-264.204,-12.012
3648,1743738062454108,281.249,12.783,-25.417,-1.155,-255.832,-11.628
3649,1743738062454113,287.448,13.064,-40.612,-1.847,-246.836,-11.222
3650,1743738062454118,292.936,13.314,-55.699,-2.531,-237.237,-10.783
3651,1743738062454123,297.735,13.531,-70.657,-3.210,-227.079,-10.321
3652,1743738062454128,301.803,13.720,-85.442,-3.884,-216.361,-9.836
3653,1743738062454133,305.139,13.873,-100.013,-4.544,-205.148,-9.324
3654,1743738062454138,307.765,13.988,-114.346,-5.195,-193.418,-8.793
3655,1743738062454143,309.637,14.076,-128.400,-5.837,-181.215,-8.239
3656,1743738062454148,310.756,14.127,-142.153,-6.461,-168.603,-7.661
3657,1743738062454153,311.122,14.141,-155.561,-7.070,-155.561,-7.070
3658,1743738062454159,310.756,14.127,-168.603,-7.661,-142.153,-6.461
3659,1743738062454164,309.637,14.076,-181.215,-8.239,-128.400,-5.837
3660,1743738062454169,307.765,13.988,-193.418,-8.793,-114.346,-5.195
3661,1743738062454175,305.139,13.873,-205.148,-9.324,-100.013,-4.544
3662,1743738062454180,301.803,13.720,-216.361,-9.836,-85.442,-3.884
3663,1743738062454185,297.735,13.531,-227.079,-10.321,-70.657,-3.210
3664,1743738062454190,292.936,13.314,-237.237,-10.783,-55.699,-2.531
3665,1743738062454195,287.448,13.064,-246.836,-11.222,-40.612,-1.847
3666,1743738062454200,281.249,12.783,-255.832,-11.628,-25.417,-1.155
3667,1743738062454206,274.384,12.473,-264.204,-12.012,-10.180,-0.462
3668,1743738062454212,266.873,12.132,-271.952,-12.363,5.101,0.231
3669,1743738062454218,258.694,11.758,-279.033,-12.686,20.338,0.924
3670,1743738062454223,249.892,11.360,-285.468,-12.977,35.554,1.616
3671,1743738062454229,240.508,10.931,-291.193,-13.235,50.684,2.304
3672,1743738062454235,230.522,10.478,-296.207,-13.466,65.685,2.983
3673,1743738062454240,219.998,9.998,-300.533,-13.660,80.535,3.662
3674,1743738062454245,208.936,9.499,-304.106,-13.822,95.170,4.327
3675,1743738062454251,197.378,8.973,-306.968,-13.951,109.590,4.983
3676,1743738062454255,185.347,8.423,-309.099,-14.048,123.752,5.625
3677,1743738062454260,172.843,7.855,-310.455,-14.113,137.612,6.253
3678,1743738062454265,159.952,7.269,-311.079,-14.141,151.127,6.872
3679,1743738062454270,146.672,6.668,-310.950,-14.136,164.299,7.467
3680,1743738062454276,133.027,6.045,-310.089,-14.094,177.061,8.049
3681,1743738062454281,119.060,5.412,-308.475,-14.020,189.394,8.608
3682,1743738062454287,104.812,4.766,-306.107,-13.914,201.295,9.148
3683,1743738062454292,90.306,4.105,-303.008,-13.771,212.680,9.666
3684,1743738062454297,75.607,3.436,-299.177,-13.600,223.571,10.164
3685,1743738062454303,60.692,2.757,-294.615,-13.392,233.923,10.631
3686,1743738062454309,45.648,2.074,-289.363,-13.152,243.694,11.079
3687,1743738062454314,30.497,1.385,-283.402,-12.880,252.905,11.494
3688,1743738062454320,15.259,0.693,-276.751,-12.580,261.492,11.887
3689,1743738062454326,0.000,0.000,-269.434,-12.247,269.434,12.247
3690,1743738062454331,-15.259,-0.693,-261.492,-11.887,276.751,12.580
3691,1743738062454337,-30.497,-1.385,-252.905,-11.494,283.402,12.880
3692,1743738062454342,-45.648,-2.074,-243.694,-11.079,289.363,13.152
3693,1743738062454348,-60.692,-2.757,-233.923,-10.631,294.615,13.392
3694,1743738062454354,-75.607,-3.436,-223.571,-10.164,299.177,13.600
3695,1743738062454359,-90.306,-4.105,-212.680,-9.666,303.008,13.771
3696,1743738062454365,-104.812,-4.766,-201.295,-9.148,306.107,13.914
3697,1743738062454370,-119.060,-5.412,-189.394,-8.608,308.475,14.020
3698,1743738062454376,-133.027,-6.045,-177.061,-8.049,310.089,14.094
3699,1743738062454381,-146.672,-6.668,-164.299,-7.467,310.950,14.136
3700,1743738062454387,-159.952,-7.269,-151.127,-6.872,311.079,14.141
3701,1743738062454399,-172.843,-7.855,-137.612,-6.253,310.455,14.113
3702,1743738062454404,-185.347,-8.423,-123.752,-5.625,309.099,14.048
3703,1743738062454410,-197.378,-8.973,-109.590,-4.983,306.968,13.951
3704,1743738062454415,-208.936,-9.499,-95.170,-4.327,304.106,13.822
3705,1743738062454420,-219.998,-9.998,-80.535,-3.662,300.533,13.660
3706,1743738062454426,-230.522,-10.478,-65.685,-2.983,296.207,13.466
3707,1743738062454432,-240.508,-10.931,-50.684,-2.304,291.193,13.235
3708,1743738062454449,-249.892,-11.360,-35.554,-1.616,285.468,12.977
3709,1743738062454455,-258.694,-11.758,-20.338,-0.924,279.033,12.686
3710,1743738062454461,-266.873,-12.132,-5.101,-0.231,271.952,12.363
3711,1743738062454467,-274.384,-12.473,10.180,0.462,264.204,12.012
3712,1743738062454472,-281.249,-12.783,25.417,1.155,255.832,11.628
3713,1743738062454478,-287.448,-13.064,40.612,1.847,246.836,11.222
3714,1743738062454483,-292.936,-13.314,55.699,2.531,237.237,10.783
3715,1743738062454489,-297.735,-13.531,70.657,3.210,227.079,10.321
3716,1743738062454495,-301.803,-13.720,85.442,3.884,216.361,9.836
3717,1743738062454500,-305.139,-13.873,100.013,4.544,205.148,9.324
3718,1743738062454506,-307.765,-13.988,114.346,5.195,193.418,8.793
3719,1743738062454511,-309.637,-14.076,128.400,5.837,181.215,8.239
3720,1743738062454517,-310.756,-14.127,142.153,6.461,168.603,7.661
3721,1743738062454522,-311.122,-14.141,155.561,7.070,155.561,7.070
3722,1743738062454527,-310.756,-14.127,168.603,7.661,142.153,6.461
3723,1743738062454533,-309.637,-14.076,181.215,8.239,128.400,5.837
3724,1743738062454538,-307.765,-13.988,193.418,8.793,114.346,5.195
3725,1743738062454544,-305.139,-13.873,205.148,9.324,100.013,4.544
3726,1743738062454549,-301.803,-13.720,216.361,9.836,85.442,3.884
3727,1743738062454554,-297.735,-13.531,227.079,10.321,70.657,3.210
3728,1743738062454560,-292.936,-13.314,237.237,10.783,55.699,2.531
3729,1743738062454566,-287.448,-13.064,246.836,11.222,40.612,1.847
3730,1743738062454571,-281.249,-12.783,255.832,11.628,25.417,1.155
3731,1743738062454577,-274.384,-12.473,264.204,12.012,10.180,0.462
3732,1743738062454583,-266.873,-12.132,271.952,12.363,-5.101,-0.231
3733,1743738062454588,-258.694,-11.758,279.033,12.686,-20.338,-0.924
3734,1743738062454594,-249.892,-11.360,285.468,12.977,-35.554,-1.616
3735,1743738062454600,-240.508,-10.931,291.193,13.235,-50.684,-2.304
3736,1743738062454605,-230.522,-10.478,296.207,13.466,-65.685,-2.983
3737,1743738062454611,-219.998,-9.998,300.533,13.660,-80.535,-3.662
3738,1743738062454616,-208.936,-9.499,304.106,13.822,-95.170,-4.327
3739,1743738062454622,-197.378,-8.973,306.968,13.951,-109.590,-4.983
3740,1743738062454627,-185.347,-8.423,309.099,14.048,-123.752,-5.625
3741,1743738062454632,-172.843,-7.855,310.455,14.113,-137.612,-6.253
3742,1743738062454638,-159.952,-7.269,311.079,14.141,-151.127,-6.872
3743,1743738062454643,-146.672,-6.668,310.950,14.136,-164.299,-7.467
3744,1743738062454649,-133.027,-6.045,310.089,14.094,-177.061,-8.049
3745,1743738062454654,-119.060,-5.412,308.475,14.020,-189.394,-8.608
3746,1743738062454660,-104.812,-4.766,306.107,13.914,-201.295,-9.148
3747,1743738062454665,-90.306,-4.105,303.008,13.771,-212.680,-9.666
3748,1743738062454671,-75.607,-3.436,299.177,13.600,-223.571,-10.164
3749,1743738062454676,-60.692,-2.757,294.615,13.392,-233.923,-10.631
3750,1743738062454682,-45.648,-2.074,289.363,13.152,-243.694,-11.079
3751,1743738062454687,-30.497,-1.385,283.402,12.880,-252.905,-11.494
3752,1743738062454693,-15.259,-0.693,276.751,12.580,-261.492,-11.887
3753,1743738062454699,0.000,0.000,269.434,12.247,-269.434,-12.247
3754,1743738062454704,15.259,0.693,261.492,11.887,-276.751,-12.580
3755,1743738062454710,30.497,1.385,252.905,11.494,-283.402,-12.880
3756,1743738062454716,45.648,2.074,243.694,11.079,-289.363,-13.152
3757,1743738062454722,60.692,2.757,233.923,10.631,-294.615,-13.392
3758,1743738062454727,75.607,3.436,223.571,10.164,-299.177,-13.600
3759,1743738062454733,90.306,4.105,212.680,9.666,-303.008,-13.771
3760,1743738062454738,104.812,4.766,201.295,9.148,-306.107,-13.914
